0,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 10
2,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 46
2,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 50
2,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 49
2,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 52
2,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 45
2,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 42
2,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 41
2,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 43
2,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 38
3,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 54
3,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 58
3,9,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 78
3,10,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 79
3,11,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 80
3,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 57
3,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 60
3,16,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 81
3,17,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 82
3,28,, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 69
3,39,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 70
3,42,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 71
3,43,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 72
3,46,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 65
0,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 10
0,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 14
0,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 13
0,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 16
0,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 9
0,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 6
0,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 5
0,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 7
0,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 2
1,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 28
1,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 32
1,9,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 73
1,10,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 74
1,11,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 75
1,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 31
1,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 34
1,16,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 76
1,17,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 77
1,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 27
1,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 24
1,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 23
1,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 25
1,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 20
2,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 46
2,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 50
2,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 49
2,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 52
2,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 45
2,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 42
2,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 41
2,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 43
2,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 38
3,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 54
3,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 58
3,9,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 78
3,10,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 79
3,11,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 80
3,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 57
3,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 60
3,16,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 81
3,17,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 82
3,28,, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 69
3,39,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 70
3,42,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 71
3,43,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 72
3,46,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 65
0,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 10
0,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 14
0,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 13
0,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 16
0,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 9
0,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 6
0,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 5
0,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 7
0,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 2
1,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 28
1,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 32
1,9,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 73
1,10,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 74
1,11,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 75
1,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 31
1,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 34
1,16,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 76
1,17,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 77
1,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 27
1,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 24
1,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 23
1,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 25
1,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 20
2,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 46
2,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 50
2,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 49
2,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 52
2,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 45
2,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 42
2,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 41
2,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 43
2,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 38
3,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 54
3,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 58
3,9,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 78
3,10,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 79
3,11,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 80
3,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 57
3,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 60
3,16,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 81
3,17,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 82
3,28,, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 69
3,39,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 70
3,42,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 71
3,43,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 72
3,46,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 65
0,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 10
0,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 14
0,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 13
0,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 16
0,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 9
0,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 6
0,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 5
0,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 7
0,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 2
1,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 28
1,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 32
1,9,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 73
1,10,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 74
1,11,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 75
1,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 31
1,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 34
1,16,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 76
1,17,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 77
1,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 27
1,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 24
1,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 23
1,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 25
1,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 20
2,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 46
2,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 50
2,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 49
2,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 52
2,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 45
2,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 42
2,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 41
2,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 43
2,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 38
3,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 54
3,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 58
3,9,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 78
3,10,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 79
3,11,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 80
3,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 57
3,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 60
3,16,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 81
3,17,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 82
3,28,, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 69
3,39,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 70
3,42,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 71
3,43,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 72
3,46,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 65
0,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 10
0,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 14
0,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 13
0,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 16
0,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 9
0,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 6
0,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 5
0,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 7
0,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 2
1,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 28
1,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 32
1,9,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 73
1,10,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 74
1,11,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 75
1,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 31
1,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 34
1,16,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 76
1,17,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 77
1,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 27
1,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 24
1,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 23
1,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 25
1,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 20
2,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 46
2,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 50
2,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 49
2,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 52
2,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 45
2,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 42
2,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 41
2,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 43
2,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 38
3,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 54
3,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 58
3,9,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 78
3,10,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 79
3,11,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 80
3,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 57
3,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 60
3,16,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 81
3,17,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 82
3,28,, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 69
3,39,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 70
3,42,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 71
3,43,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 72
3,46,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 65
0,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 10
0,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 14
0,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 13
0,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 16
0,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 9
0,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 6
0,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 5
0,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 7
0,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 2
1,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 28
1,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 32
1,9,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 73
1,10,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 74
1,11,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 75
1,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 31
1,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 34
1,16,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 76
1,17,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 77
1,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 27
1,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 24
1,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 23
1,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 25
1,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 20
2,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 46
2,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 50
2,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 49
2,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 52
2,28,PUT  FEB 16 CME CATTLE    1340, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 45
2,39,PUT  DEC 15 CME LEAN HOGS  670, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 42
2,42,PUT  DEC 15 CME LEAN HOGS  610, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 41
2,43,CALL DEC 15 CME LEAN HOGS  680, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 43
2,46,CALL JAN 16 CBT SOYBEANS   910, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 38
3,5,DEC 15 EMINI S&P 500          , orderLots ,-2, noOrderContracts, -2, multiple, 1, webPos, 54
3,7,PUT  DEC 15 EMINI S&P 500 2060, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 58
3,9,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 78
3,10,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 79
3,11,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 80
3,12,PUT  DEC 15 EMINI S&P 500 2040, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 57
3,13,CALL DEC 15 EMINI S&P 500 2105, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 60
3,16,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 81
3,17,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 82
3,28,, orderLots ,2, noOrderContracts, 2, multiple, 1, webPos, 69
3,39,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 70
3,42,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 71
3,43,, orderLots ,-1, noOrderContracts, -1, multiple, 1, webPos, 72
3,46,, orderLots ,1, noOrderContracts, 1, multiple, 1, webPos, 65
